University_Name,Publications_Count,Citations_Count,H_Index
koç university,23943,819715,265
maltepe university,5983,119645,117
marmara university,44612,1250233,252
mersin university,20837,502194,186
mustafa kemal university,12222,284115,167
mimar sinan university,2884,19500,58
namik kemal university,10866,158732,115
middle east technical university,47427,2556670,427
osmangazi university,21436,566807,202
ordu university,9678,102731,90
sakarya university,28944,629253,189
suleyman demirel university,11080,85974,89
istanbul şehir university,1036,26923,84
tarsus university,3655,37291,70
türkisch-deutsche universität,3546,23602,60
trakya university,15215,340192,155
ufuk university,15585,1113678,360
yalova university,5073,63124,86
yildirim beyazit university,15496,198743,125
yeditepe university,10672,307413,173
yüzüncü yil (centennial) university,20747,428971,166
adana science and technology university,4247,62108,90
aksaray university,10468,155063,130
alanya alaaddin keykubat university,3288,24989,63
amasya university,6787,59666,85
ardahan university,3206,32574,80
artvin coruh university,4963,52656,82
bandirma onyedi eylul university,5095,39603,73
bartin university,8044,131074,116
batman university,5807,72033,93
bayburt university,4763,48130,83
bitlis eren university,4762,37993,71
bozok university,12140,150072,120
duzce university,14463,257009,156
hakkari university,3408,20275,56
air force academy,10065,261000,179
hitit university,9022,92922,91
istanbul medeniyet university,12479,222027,153
istanbul university,76458,3066702,399
kastamonu university,10923,132759,115
mehmet akif ersoy university,11296,132613,113
mimar sinan fine arts university,2884,19500,58
osmaniye korkut ata university,5276,70417,99
siirt university,7576,100659,103
sinop university,6196,72663,100
sirnak university,2277,21385,59
tunceli university,4011,73839,104
health sciences university,30242,1947311,396
usak university,80373,6023388,626
alanya hamdullah emin pasa university,2727,27730,65
avrasya university,1741,12843,50
biruni university,5838,63213,80
fatih sultan mehmet university,2484,15561,43
gedik university,2099,17768,56
hasan kalyoncu university,3368,41467,77
istanbul esenyurt university,814,3372,25
istanbul gelisim university,6906,78184,117
istanbul kemerburgaz university,3868,58176,78
istanbul medipol university,16003,239743,138
istanbul rumeli university,570,2651,19
istanbul sabahattin zaim university,3635,35754,74
izmir university of economics,5811,102009,109
karatay university,3048,56706,110
konya technical university,4505,70165,85
izmir bakırçay university,2530,18578,50
izmir democracy university,2311,12418,40
izmir tınaztepe university,351,1148,15
türk hava kurumu üniversitesi,1116,16778,62
ankara yildirim beyazit university,15496,198743,125
ostim technical university,1680,11282,45
ankara medipol university,1305,10151,37
ankara science university,262,3188,31
university of turkish aeronautical association,1116,16778,62
ondokuz mayıs university,31985,706304,190
eskişehir teknik üniversitesi,5747,80143,90
afghan university,164,789,16
american university of afghanistan,324,3899,23
badakhshan university,256,715,15
balkh university,566,2186,24
baghlan university,189,498,11
bakhtar university,1188,3322,27
bost university,118,597,14
dawat university,778,6755,33
faryab higher education institute,0,0,0
ghazni university,903,1550,18
herat university,1516,113027,108
ibn sina university,0,0,0
jawzjan university,181,670,11
kandahar university,928,10227,43
kardan university,787,5583,36
kabul education university,1446,3029,26
kabul medical university,1074,11933,41
kabul university,4070,33603,65
khurasan university,110,903,16
nangarhar university,1076,6354,39
pamir university,37,79,3
parwan university,160,900,16
polytechnical university of kabul,459,5958,40
paktia university,392,945,15
salam university,467,1963,20
shaikh zayed university,466,3748,31
takhar university,226,2538,22
west herts college,129,1971,19
royal holloway university of london,44094,3826688,534
university of portsmouth,38088,2295307,573
university of the arts london,5801,45180,90
university of aberdeen,96332,7256689,761
aberystwyth university,27554,1636645,389
anglia ruskin university,17026,610982,253
aston university,36964,1785210,419
the american university in london,353,3773,31
"university of wales, bangor",49088,3585066,549
university of bath,75322,4501851,613
bath spa university,4705,64850,89
"birkbeck college, university of london",35186,1809791,443
british college of osteopathic medicine,136,5141,35
birmingham city university,16343,448416,226
university of bedfordshire,10611,392359,225
university of birmingham,216794,22745642,1187
university of bolton,5447,192126,177
bournemouth university,21054,832498,289
university of bradford,35028,1430074,333
university of bristol,214164,21514455,1175
oxford brookes university,23760,908876,317
university of brighton,19797,747116,280
university of buckingham,4059,80868,117
buckinghamshire new university,2556,67043,122
university of cambridge,445668,53441669,1817
university of cambridge,445668,53441669,1817
university of cambridge,445668,53441669,1817
university of cambridge,445668,53441669,1817
university of cambridge,445668,53441669,1817
university of cambridge,445668,53441669,1817
canterbury christ church university,8886,197791,163
cardiff university,126269,13315055,1230
university of chester,9235,295853,174
city university,115970,7987773,648
"courtauld institute of art, university of london",3670,124605,139
pensacola christian college,80,1014,16
